ID:int,TaskType:int,FrontTask:int,PostTask:int,Mission:int,GameType:int,HandPatterns:int,Count:int,TimeQuantum:string,Rewards:int,RewardsCount:int,MissionIcon:string,MissionTips:int,Tips:string
100001,1,0,100011,10,0,0,10,,2010001,5000,IconDj,1606001,角色等级达到10级
100011,1,100001,100021,10,0,0,20,,2010001,10000,IconDj,1606001,角色等级达到20级
100021,1,100011,100031,10,0,0,30,,2010001,10000,IconDj,1606001,角色等级达到30级
100031,1,100021,100041,10,0,0,40,,2010001,10000,IconDj,1606001,角色等级达到40级
100041,1,100031,100051,10,0,0,50,,2010001,10000,IconDj,1606001,角色等级达到50级
100051,1,100041,100061,10,0,0,60,,2010001,10000,IconDj,1606001,角色等级达到60级
100061,1,100051,100071,10,0,0,70,,2010001,10000,IconDj,1606001,角色等级达到70级
100071,1,100061,100081,10,0,0,80,,2010001,10000,IconDj,1606001,角色等级达到80级
100081,1,100071,100091,10,0,0,90,,2010001,10000,IconDj,1606001,角色等级达到90级
100091,1,100081,0,10,0,0,100,,2010001,10000,IconDj,1606001,角色等级达到100级
110001,1,0,0,11,0,0,1,,2010001,1000,IconTx,1606001,修改头像
120001,1,0,120011,12,0,0,1000000,,2010001,10000,IconJb,1606001,金币数量达到100万
120011,1,120001,120021,12,0,0,5000000,,2010001,20000,IconJb,1606001,金币数量达到500万
120021,1,120011,120031,12,0,0,10000000,,2010001,20000,IconJb,1606001,金币数量达到1000万
120031,1,120021,120041,12,0,0,30000000,,2010001,20000,IconJb,1606001,金币数量达到3000万
120041,1,120031,120051,12,0,0,50000000,,2010001,20000,IconJb,1606001,金币数量达到5000万
120051,1,120041,0,12,0,0,100000000,,2010001,20000,IconJb,1606001,金币数量达到1亿
1000001,2,0,0,1,0,0,1,,2010001,5000,IconMoments,1606001,朋友圈分享
2000002,2,0,0,2,0,0,1,,2010001,3000,IconWeixin,1606002,微信好友分享
6010001,2,0,6010011,6,1,0,20,,2010001,800,IconMenji,1606004,完成20盘闷鸡对局
6010011,2,6010001,6010021,6,1,0,30,,2010001,1200,IconMenji,1606004,完成30盘闷鸡对局
6010021,2,6010011,6010031,6,1,0,40,,2010001,1500,IconMenji,1606004,完成40盘闷鸡对局
6010031,2,6010021,0,6,1,0,50,,2010001,2000,IconMenji,1606004,完成50盘闷鸡对局
6020001,2,0,6020011,6,2,0,10,,2010001,500,IconDdz,1606005,完成10盘昭通斗地主对局
6020011,2,6020001,6020021,6,2,0,20,,2010001,1000,IconDdz,1606005,完成20盘昭通斗地主对局
6020021,2,6020011,6020031,6,2,0,30,,2010001,1500,IconDdz,1606005,完成30盘昭通斗地主对局
6020031,2,6020021,0,6,2,0,40,,2010001,2000,IconDdz,1606005,完成40盘昭通斗地主对局
6030001,2,0,6030011,6,3,0,10,,2010001,800,IconMahjong,1606006,完成10盘昭通麻将对局
6030011,2,6030001,6030021,6,3,0,20,,2010001,1200,IconMahjong,1606006,完成50盘昭通麻将对局
6030021,2,6030011,6030031,6,3,0,30,,2010001,2500,IconMahjong,1606006,完成30盘昭通麻将对局
6030031,2,6030021,0,6,3,0,40,,2010001,4000,IconMahjong,1606006,完成40盘昭通麻将对局
