CombinationId:int,PropA:string,PropB:string,PropC:string,OneTimesReward:int,OneProbability:string,TwoTimesReward:int,TwoProbability:string,ThreeTimesReward:int,ThreeProbability:string,Tips:string
1,1,2,3,400000,0.2,1500000,0.1,5000000,0.1,123
2,1,1,1,150000,0.3,500000,0.3,3000000,0.2,111
3,2,2,2,100000,0.5,300000,0.5,1000000,0.3,222
4,3,3,3,50000,1,150000,1,500000,1,333
5,1|2|3,1|2|3,1|2|3,20000,3,75000,2.5,200000,2,任意3个动物
6,4,5,6,10000,5,45000,5,100000,3,456
7,4,4,4,8000,7,25000,7,40000,5,444
8,5,5,5,5000,30,12500,30,25000,10,555
9,6,6,6,2000,65,5000,60,10000,60,666
10,4|5|6,4|5|6,4|5|6,1000,100,2500,100,5000,100,任意3个水果
11,1|4,2|5,3|6,800,300,2000,300,4000,300,任意红绿黄各1个
12,1|4,1|4,1|4,500,550,1250,500,2500,500,任意红色3个
13,2|5,2|5,2|5,300,1000,750,800,1500,800,任意绿色3个
14,3|6,3|6,3|6,200,1200,500,1200,1000,1200,任意黄色3个
15,7,7,7,100,1700,250,1800,500,1800,3个麻将牌
